fe-Aggregate-AggregateProperty	aggregate@aggregateproperty
frame-Calendric_unit-dawn.n	calendric_unit#daybreak.n
frame-Calendric_unit-dusk.n	calendric_unit#twilight.n
frame-Calendric_unit-eve.n	calendric_unit#evening.n
frame-Calendric_unit-morn.n	calendric_unit#morning.n
frame-Calendric_unit-noon.n	calendric_unit#midday.n
frame-Candidness-candour.n	candidness#blunt.a	candidness#bluntness.n	candidness#candid.a	candidness#forthright.a	candidness#forthrightness.n	candidness#frank.a	candidness#open.a	candidness#outspoken.a
frame-Candidness-discreet.a	candidness#circumspect.a
frame-Candidness-earnestness.n	candidness#earnest.a
frame-Candidness-honesty.n	candidness#honest.a
frame-Candidness-straight.a	candidness#straightforward.a
frame-Capability-ability.n	capability#able.a	capability#capability.n	capability#capable.a
frame-Capability-potential.n	capability#potential.a
frame-Cardinal_numbers-1000.num	cardinal_numbers#1000.c
frame-Cardinal_numbers-1200.num	cardinal_numbers#1200.c
frame-Cardinal_numbers-400.num	cardinal_numbers#400.c
frame-Cardinal_numbers-450.num	cardinal_numbers#450.c
frame-Cardinal_numbers-6500.num	cardinal_numbers#6500.c
frame-Cardinal_numbers-billion.num	cardinal_numbers#billion.c	cardinal_numbers#million.c
frame-Cardinal_numbers-eight.num	cardinal_numbers#eight.c
frame-Cardinal_numbers-fifteen.num	cardinal_numbers#fifteen.c
frame-Cardinal_numbers-fifty-two.num	cardinal_numbers#fifty-two.c
frame-Cardinal_numbers-fifty.num	cardinal_numbers#fifty.c
frame-Cardinal_numbers-five.num	cardinal_numbers#five.c
frame-Cardinal_numbers-five_hundred.num	cardinal_numbers#five_hundred.c
frame-Cardinal_numbers-forty.num	cardinal_numbers#forty.c
frame-Cardinal_numbers-four.num	cardinal_numbers#four.c
frame-Cardinal_numbers-hundred.num	cardinal_numbers#hundred.c
frame-Cardinal_numbers-ninety.num	cardinal_numbers#ninety.c
frame-Cardinal_numbers-one.num	cardinal_numbers#one.c
frame-Cardinal_numbers-pair.n	cardinal_numbers#brace.n	cardinal_numbers#couple.n
frame-Cardinal_numbers-seven.num	cardinal_numbers#seven.c
frame-Cardinal_numbers-seventy-four.num	cardinal_numbers#seventy-four.c
frame-Cardinal_numbers-seventy.num	cardinal_numbers#seventy.c
frame-Cardinal_numbers-six.num	cardinal_numbers#six.c
frame-Cardinal_numbers-sixty.num	cardinal_numbers#sixty.c
frame-Cardinal_numbers-ten.num	cardinal_numbers#ten.c
frame-Cardinal_numbers-thirty.num	cardinal_numbers#thirty.c
frame-Cardinal_numbers-three.num	cardinal_numbers#three.c
frame-Cardinal_numbers-twelve.num	cardinal_numbers#twelve.c
frame-Cardinal_numbers-twenty-five.num	cardinal_numbers#twenty-five.c
frame-Cardinal_numbers-twenty-one.num	cardinal_numbers#twenty-one.c
frame-Cardinal_numbers-twenty.num	cardinal_numbers#twenty.c
frame-Cardinal_numbers-two.num	cardinal_numbers#two.c
frame-Cardinal_numbers-two_hundred.num	cardinal_numbers#two_hundred.c
frame-Cardinal_numbers-zero.num	cardinal_numbers#zero.c
frame-Catastrophe-befall.v	catastrophe#betide.v
