fe-Aggregate-AggregateProperty	aggregate@aggregateproperty
frame-Organization-committee.n	organization#delegation.n
frame-Origin-from.prep	origin#from.c
frame-Origin-national.n	origin#national.a
frame-Origin-of.prep	origin#of.c
frame-Others_situation_as_stimulus-pity.v	others_situation_as_stimulus#compassion.n
frame-Pardon-pardon.v	pardon#pardon.n
frame-Part_inner_outer-centre.n	part_inner_outer#central.a	part_inner_outer#middle.n
frame-Part_inner_outer-outside.n	part_inner_outer#exterior.n
frame-Part_orientational-back.n	part_orientational#rear.a	part_orientational#rear.n
frame-Part_orientational-bottom.n	part_orientational#underside.n
frame-Part_orientational-face.n	part_orientational#side.n
frame-Part_orientational-tip.n	part_orientational#crest.n	part_orientational#peak.n	part_orientational#summit.n	part_orientational#top.n
frame-Part_piece-chip.n	part_piece#flake.n	part_piece#scrap.n
frame-Part_piece-clod.n	part_piece#chunk.n	part_piece#clump.n	part_piece#hunk.n	part_piece#lump.n
frame-Part_piece-shard.n	part_piece#fragment.n
frame-Part_piece-shred.n	part_piece#smidgen.n
frame-Part_whole-part.n	part_whole#portion.n
frame-Part_whole-section.n	part_whole#segment.n
frame-Partiality-bias.v	partiality#bias.n	partiality#prejudice.n
frame-Partiality-favor.v	partiality#prefer.v
frame-Partiality-impartiality.n	partiality#impartial.a
frame-Partiality-neutrality.n	partiality#neutral.a
frame-Partiality-partiality.n	partiality#partial.a
frame-Participation-embroiled.a	participation#entangled.a
frame-Participation-in.prep	participation#in.c
frame-Participation-take_part.v	participation#involvement.n	participation#participant.n	participation#participate.v	participation#participation.n
frame-Partitive-of.prep	partitive#of.c
frame-Partitive-out_of.prep	partitive#out_of.c
frame-Path_shape-angle.v	path_shape#slant.v
frame-Path_shape-cross.v	path_shape#traverse.v
frame-Path_shape-emerge.v	path_shape#emergence.n
frame-Path_shape-exit.v	path_shape#leave.v
frame-Path_shape-twisty.a	path_shape#twisting.a	path_shape#winding.a
frame-Path_shape-veer.v	path_shape#swerve.v	path_shape#twist.v
frame-Path_shape-wind.v	path_shape#meander.v	path_shape#weave.v
frame-People-chap.n	people#fellow.n
frame-People-human.n	people#human_being.n
frame-People-person.n	people#individual.n
frame-People_by_age-baby.n	people_by_age#infant.n
frame-People_by_age-kid.n	people_by_age#youngster.n
frame-People_by_age-neonate.n	people_by_age#newborn.n
frame-People_by_age-teenager.n	people_by_age#adolescent.n
frame-People_by_age-youth.n	people_by_age#spring_chicken.n
frame-People_by_jurisdiction-subject.n	people_by_jurisdiction#national.n
frame-People_by_morality-miscreant.n	people_by_morality#reprobate.n
frame-People_by_morality-sinner.n	people_by_morality#evildoer.n
frame-People_by_origin-American.n	people_by_origin#american.n	people_by_origin#american_(n_and_s_am).n
frame-People_by_origin-Brit.n	people_by_origin#brit.n
frame-People_by_origin-Californian.n	people_by_origin#californian.n
frame-People_by_origin-Chicagoan.n	people_by_origin#chicagoan.n
frame-People_by_origin-Denverite.n	people_by_origin#denverite.n
frame-People_by_origin-Dubliner.n	people_by_origin#dubliner.n
frame-People_by_origin-English.n	people_by_origin#english.n
frame-People_by_origin-Frenchman.n	people_by_origin#frenchman.n	people_by_origin#frenchwoman.n
frame-People_by_origin-Frenchy.n	people_by_origin#frenchy.n
frame-People_by_origin-Greek.n	people_by_origin#greek.n
frame-People_by_origin-Indian((American)).n	people_by_origin#indian((american)).n
frame-People_by_origin-Iranian.n	people_by_origin#iranian.n	people_by_origin#persian.n
frame-People_by_origin-Irish.n	people_by_origin#irish.n
frame-People_by_origin-Kraut.n	people_by_origin#kraut.n
frame-People_by_origin-Mexican.n	people_by_origin#mexican.n
frame-People_by_origin-New_Yorker.n	people_by_origin#new_yorker.n
frame-People_by_origin-Turk.n	people_by_origin#turk.n
frame-People_by_religion-pagan.n	people_by_religion#infidel.n
frame-People_by_vocation-officer.n	people_by_vocation#police_officer.n
frame-People_by_vocation-waiter.n	people_by_vocation#waitress.n
frame-Perception_active-gape.v	perception_active#gawk.v	perception_active#goggle.v
frame-Perception_active-gaze.v	perception_active#gaze.n	perception_active#stare.n	perception_active#stare.v
frame-Perception_active-peek.v	perception_active#glance.n	perception_active#glance.v	perception_active#peek.n	perception_active#peep.v
frame-Perception_active-sniff.v	perception_active#sniff.n
frame-Perception_active-spy.v	perception_active#look.n	perception_active#look.v	perception_active#view.v	perception_active#watch.v
frame-Perception_active-taste.v	perception_active#savour.v	perception_active#taste.n
frame-Perception_body-ail.v	perception_body#ache.v	perception_body#hurt.v	perception_body#pain.n	perception_body#pain.v	perception_body#smart.v
frame-Perception_body-burn.v	perception_body#sting.v
frame-Perception_body-tingle.v	perception_body#prickle.v
frame-Perception_experience-detect.v	perception_experience#perceive.v	perception_experience#perception.n	perception_experience#witness.v
frame-Perception_experience-feel.v	perception_experience#experience.n
frame-Performers-actor.n	performers#player.n
frame-Performers_and_roles-act.v	performers_and_roles#play.v
frame-Performers_and_roles-as.prep	performers_and_roles#as.c
frame-Performers_and_roles-co-star.v	performers_and_roles#co-star.n	performers_and_roles#co-star_(in).v
frame-Performers_and_roles-part.n	performers_and_roles#character.n	performers_and_roles#role.n
frame-Performers_and_roles-star.v	performers_and_roles#lead.n	performers_and_roles#star.n	performers_and_roles#star_(in).v
frame-Permitting-allow.v	permitting#permit.n	permitting#permit.v	permitting#sanction.v
frame-Personal_relationship-beau.n	personal_relationship#boyfriend.n
frame-Personal_relationship-betrothed.n	personal_relationship#betrothed.a
frame-Personal_relationship-cohabit.v	personal_relationship#cohabitation.n
frame-Personal_relationship-court.v	personal_relationship#romance.n	personal_relationship#suitor.n
frame-Personal_relationship-date.v	personal_relationship#engagement.n
frame-Personal_relationship-friend.n	personal_relationship#friendship.n
frame-Personal_relationship-marriage.n	personal_relationship#marital.a	personal_relationship#married.a
frame-Personal_relationship-mate.n	personal_relationship#partner.n	personal_relationship#spouse.n
frame-Personal_relationship-pal.n	personal_relationship#buddy.n	personal_relationship#chum.n
frame-Personal_relationship-widow.v	personal_relationship#widow.n
frame-Physical_artworks-photo.n	physical_artworks#photograph.n	physical_artworks#picture.n
frame-Physical_artworks-statue.n	physical_artworks#statuette.n
frame-Piracy-carjack.v	piracy#carjacking.n
frame-Piracy-hijack.v	piracy#hijacker.n	piracy#hijacking.n	piracy#piracy.n	piracy#pirate.v
frame-Place_weight_on-stress.v	place_weight_on#emphasis.n	place_weight_on#emphasize.v
frame-Placing-bag.v	placing#box.v	placing#pack.v	placing#package.v
frame-Placing-daub.v	placing#smear.v
frame-Placing-embed.v	placing#implant.v
frame-Placing-jam.v	placing#heap.v	placing#pile.v
frame-Placing-lay.v	placing#arrange.v	placing#deposit.v	placing#emplace.v	placing#place.v	placing#placement.n	placing#plant.v	placing#position.v	placing#put.v	placing#set.v	placing#situate.v
frame-Placing-lodge.v	placing#stick.v
frame-Placing-plunge.v	placing#immerse.v
frame-Placing-tuck.v	placing#enclose.v	placing#insert.v	placing#wrap.v
frame-Political_locales-city.n	political_locales#metropolis.n
frame-Political_locales-district.n	political_locales#territory.n
frame-Political_locales-internationally.adv	political_locales#international.a	political_locales#internationally.c
frame-Political_locales-municipality.n	political_locales#municipal.a
frame-Political_locales-state.n	political_locales#commonwealth.n	political_locales#country.n	political_locales#nation.n	political_locales#national.a
frame-Posing_as-pose.v	posing_as#impersonate.v
frame-Position_on_a_scale-lacking.a	position_on_a_scale#deficient.a
frame-Position_on_a_scale-through_the_roof.prep	position_on_a_scale#through_the_roof.c
frame-Possession-lack.v	possession#lack.n	possession#want.n
frame-Possession-own.v	possession#belong.v	possession#belongings.n	possession#have.v	possession#have_got.v	possession#owner.n	possession#ownership.n	possession#possess.v	possession#possessor.n	possession#property.n
frame-Possession-possession.n	possession#definite_possession.n	possession#possession_of_goods.n
frame-Possibilities-choice.n	possibilities#alternative.n	possibilities#option.n
frame-Posture-stoop.v	posture#crouch.v
frame-Practice-practice.v	practice#drill.n	practice#dry_run.n	practice#exercise.n	practice#practice.n	practice#rehearsal.n	practice#rehearse.v
frame-Praiseworthiness-deplorable.a	praiseworthiness#lamentable.a
frame-Praiseworthiness-execrable.a	praiseworthiness#abominable.a	praiseworthiness#detestable.a
frame-Praiseworthiness-laudable.a	praiseworthiness#commendable.a	praiseworthiness#praiseworthy.a
frame-Precipitation-drizzle.v	precipitation#drizzle.n
frame-Precipitation-hail.v	precipitation#hail.n
frame-Precipitation-precipitation.n	precipitation#precipitation_event.n
frame-Precipitation-rain.v	precipitation#rain.n	precipitation#rain_event.n	precipitation#rainfall.n	precipitation#shower.n	precipitation#shower.v
frame-Precipitation-sleet.v	precipitation#sleet.n
frame-Precipitation-snow.v	precipitation#snow.n	precipitation#snowfall.n
frame-Precipitation-torrent.n	precipitation#downpour.n
frame-Predicament-fix.n	predicament#jam.n	predicament#mess.n	predicament#pickle.n
frame-Predicament-plight.n	predicament#predicament.n
frame-Predicting-predict.v	predicting#forecast.v	predicting#foretell.v	predicting#prediction.n	predicting#prognosticate.v	predicting#prophecy.n	predicting#prophesy.v	predicting#vaticinate.v
frame-Preference-favor.v	preference#prefer.v
frame-Preliminaries-preliminary.n	preliminaries#preliminary.a
frame-Presence-presence.n	presence#present.a
frame-Preserving-mummify.v	preserving#mummification.n
frame-Prevarication-bullshit.v	prevarication#dissemble.v	prevarication#dissembler.n
frame-Prevarication-deceive.v	prevarication#deception.n	prevarication#deceptive.a	prevarication#misrepresent.v	prevarication#misrepresentation.n
frame-Prevarication-fib.v	prevarication#equivocate.v	prevarication#equivocation.n	prevarication#fib.n	prevarication#lie.n	prevarication#lie.v	prevarication#prevaricate.v	prevarication#prevarication.n
frame-Preventing-avert.v	preventing#avoid.v	preventing#obviate.v	preventing#prevent.v	preventing#stave_off.v
frame-Preventing-stop.v	preventing#check.v
frame-Prison-jail.n	prison#jailhouse.n	prison#slammer.n
frame-Prison-pen.n	prison#penitentiary.n
frame-Probability-chance.n	probability#likelihood.n	probability#probability.n
frame-Process_completed_state-over.a	process_completed_state#complete.a
frame-Process_continue-go_on.v	process_continue#continue.v	process_continue#proceed.v
frame-Process_end-end.v	process_end#end.n	process_end#end_cessation.n	process_end#end_final-subevent.n	process_end#finale.n
frame-Process_start-begin.v	process_start#commence.v	process_start#commencement.n	process_start#start.v
frame-Process_start-erupt.v	process_start#break_out.v
frame-Process_stop-quit.v	process_stop#cease.v	process_stop#cessation.n	process_stop#discontinuation.n	process_stop#discontinue.v	process_stop#halt.n	process_stop#stop.v
frame-Progress-advance.v	progress#advance.n	progress#advancement.n	progress#progress.n	progress#progress.v
frame-Progress-mature.v	progress#develop.v	progress#maturation.n
frame-Prohibiting-ban.v	prohibiting#ban.n	prohibiting#forbid.v	prohibiting#prohibit.v	prohibiting#prohibition.n	prohibiting#proscribe.v
frame-Project-plan.n	project#program.n	project#project.n
frame-Proliferating_in_number-proliferate.v	proliferating_in_number#proliferation.n
frame-Prominence-salient.a	prominence#prominent.a
frame-Protecting-safeguard.v	protecting#safeguard.n
frame-Protecting-shield.v	protecting#protect.v	protecting#protection_((entity)).n	protecting#protection_((event)).n	protecting#shield.n
frame-Provide_lodging-house.v	provide_lodging#lodge.v	provide_lodging#put_up.v
frame-Punctual_perception-glimpse.v	punctual_perception#glimpse.n
frame-Purpose-aim.v	purpose#aim.n	purpose#intend.v	purpose#intention.n	purpose#mean.v	purpose#object.n	purpose#objective.n	purpose#plan.n	purpose#purpose.n	purpose#target.n
frame-Purpose-in_order.adv	purpose#in_order.c
frame-Purpose-use.n	purpose#application.n
frame-Quantity-a_few.art	quantity#a_few.c
frame-Quantity-few.n	quantity#few.a
frame-Quantity-flood.n	quantity#deluge.n	quantity#torrent.n
frame-Quantity-handful.n	quantity#smattering.n
frame-Quantity-heap.n	quantity#abundance.n	quantity#mass.n	quantity#mountain.n	quantity#pile.n	quantity#raft.n
frame-Quantity-mite.n	quantity#pinch.n	quantity#touch.n
frame-Quantity-number.n	quantity#measure.n	quantity#quantity.n
frame-Quantity-scads.n	quantity#dozens.n	quantity#oodles.n	quantity#scores.n
frame-Quarreling-argue.v	quarreling#argument.n	quarreling#disagreement.n	quarreling#disputation.n	quarreling#dispute.n	quarreling#fight.v	quarreling#quarrel.n	quarreling#quarrel.v	quarreling#row.n	quarreling#wrangle.n	quarreling#wrangle.v	quarreling#wrangling.n
frame-Quarreling-bicker.v	quarreling#bickering.n	quarreling#quibble.v	quarreling#spat.n	quarreling#squabble.n	quarreling#squabble.v	quarreling#tiff.n
frame-Questioning-ask.v	questioning#inquiry.n	questioning#interrogate.v	questioning#interrogation.n	questioning#query.n	questioning#query.v	questioning#question.n	questioning#question.v	questioning#questioning.n
frame-Quitting-quit.v	quitting#resign.v	quitting#resignation.n	quitting#step_down.v
frame-Quitting-retire.v	quitting#retirement.n
frame-Quitting_a_place-defect.v	quitting_a_place#defection.n	quitting_a_place#desert.v	quitting_a_place#desertion.n
frame-Quitting_a_place-emigrate.v	quitting_a_place#emigrant.n	quitting_a_place#emigration.n	quitting_a_place#emigre.n
frame-Quitting_a_place-quit.v	quitting_a_place#abandon.v	quitting_a_place#vacate.v
frame-Quitting_a_place-retreat.v	quitting_a_place#withdraw.v	quitting_a_place#withdrawal.n
frame-Range-range.n	range#reach.n
frame-Rank-level.n	rank#degree.n
frame-Rape-rape.v	rape#rape.n	rape#rapist.n
frame-Rashness-precipitate.a	rashness#precipitous.a
frame-Ratification-ratify.v	ratification#ratification.n
frame-Reading-read.v	reading#reader.n
frame-Reading-scan.v	reading#skim.v
frame-Reason-basis.n	reason#reason.n
frame-Reason-motive.n	reason#motivation.n
frame-Reasoning-argue.v	reasoning#reason.v
frame-Reasoning-prove.v	reasoning#demonstrate.v
frame-Reassuring-reassure.v	reassuring#reassurance.n
frame-Receiving-receive.v	receiving#receipt.n
frame-Recovery-recover.v	recovery#convalesce.v	recovery#convalescence.n	recovery#recovery.n	recovery#recuperate.v	recovery#recuperation.n
frame-Referring_by_name-call.v	referring_by_name#name.n
frame-Reforming_a_system-reform.v	reforming_a_system#reform.n
frame-Regard-esteem.n	regard#regard.n
frame-Regard-opinion.n	regard#impression.n
frame-Regard-think.v	regard#regard.v
frame-Rejuvenation-invigorate.v	rejuvenation#reinvigorate.v
frame-Rejuvenation-restore.v	rejuvenation#rejuvenate.v
frame-Rejuvenation-resuscitate.v	rejuvenation#resuscitation.n
frame-Rejuvenation-revival.n	rejuvenation#revitalization.n
frame-Relating_concepts-tie.v	relating_concepts#associate.v	relating_concepts#connect.v	relating_concepts#link.v	relating_concepts#relate.v
frame-Relational_natural_features-peak.n	relational_natural_features#summit.n
frame-Relational_quantity-about.prep	relational_quantity#about.c
frame-Relational_quantity-almost.prep	relational_quantity#almost.c
frame-Relational_quantity-around.prep	relational_quantity#around.c
frame-Relational_quantity-at_least.adv	relational_quantity#at_least.c
frame-Relational_quantity-at_most.adv	relational_quantity#at_most.c
frame-Relational_quantity-barely.adv	relational_quantity#barely.c
frame-Relational_quantity-circa.prep	relational_quantity#circa.c
frame-Relational_quantity-exactly.adv	relational_quantity#exactly.c	relational_quantity#precisely.c
frame-Relational_quantity-in_neighborhood_(of).prep	relational_quantity#in_neighborhood_(of).c
frame-Relational_quantity-in_vicinity_(of).prep	relational_quantity#in_vicinity_(of).c
frame-Relational_quantity-little.art	relational_quantity#little.c
frame-Relational_quantity-much.art	relational_quantity#much.c
frame-Relational_quantity-nearly.adv	relational_quantity#nearly.c
frame-Relational_quantity-or_so.adv	relational_quantity#approximately.c	relational_quantity#or_so.c	relational_quantity#roughly.c
frame-Relational_quantity-over.prep	relational_quantity#over.c
frame-Relational_quantity-some.art	relational_quantity#some.c
frame-Relational_quantity-something_like.prep	relational_quantity#something_like.c
frame-Relational_quantity-thereabouts.adv	relational_quantity#thereabouts.c
frame-Relational_quantity-under.prep	relational_quantity#under.c
frame-Relational_quantity-upwards_of.prep	relational_quantity#upwards_of.c
frame-Relative_time-after.prep	relative_time#after.c
frame-Relative_time-ahead.adv	relative_time#ahead.c
frame-Relative_time-as.adv	relative_time#as.c
frame-Relative_time-behind.adv	relative_time#behind.c
frame-Relative_time-late.a	relative_time#belated.a	relative_time#recent.a	relative_time#tardy.a
frame-Relative_time-later.adv	relative_time#later.c	relative_time#subsequent.a	relative_time#subsequently.c
frame-Relative_time-next.a	relative_time#following.a
frame-Relative_time-on_time.adv	relative_time#on_time.c
frame-Relative_time-precede.v	relative_time#antecedent.a	relative_time#predate.v	relative_time#prior.a
frame-Relative_time-punctually.adv	relative_time#punctual.a	relative_time#punctuality.n	relative_time#punctually.c
frame-Relative_time-simultaneously.adv	relative_time#simultaneous.a	relative_time#simultaneously.c
frame-Relative_time-sooner.adv	relative_time#sooner.c
frame-Relative_time-sooner_rather_than_later.adv	relative_time#sooner_rather_than_later.c
frame-Releasing-release.v	releasing#set_free.v
frame-Reliance-count.v	reliance#depend.v	reliance#dependence.n	reliance#dependency.n
frame-Reliance-rely.v	reliance#reliance.n
frame-Remembering_experience-recall.v	remembering_experience#memory.n	remembering_experience#remember.v	remembering_experience#reminisce.v
frame-Removing-ejection.n	removing#expulsion.n
frame-Removing-empty.v	removing#eliminate.v	removing#elimination.n	removing#evacuate.v	removing#evacuation.n
frame-Removing-evict.v	removing#eviction.n
frame-Removing-excise.v	removing#expunge.v
frame-Removing-extract.v	removing#extraction.n
frame-Removing-oust.v	removing#eject.v	removing#expel.v
frame-Removing-purge.v	removing#disgorge.v
frame-Removing-take.v	removing#removal.n	removing#remove.v	removing#withdraw.v	removing#withdrawal.n
frame-Removing-tear.v	removing#pluck.v
frame-Render_nonfunctional-disable.v	render_nonfunctional#incapacitate.v
frame-Renting-hire.v	renting#charter.v	renting#lease.v	renting#rent.v
frame-Renting_out-rent.v	renting_out#lease.v
frame-Renunciation-renounce.v	renunciation#renunciation.n
frame-Reparation-amends.n	reparation#reparation.n
frame-Repayment-repay.v	repayment#repayment.n
frame-Replacing-switch.v	replacing#replace.v	replacing#replacement.n	replacing#substitute.v	replacing#substitution.n
frame-Reporting-rat.v	reporting#fink.n	reporting#fink.v	reporting#informer.n	reporting#peach.v	reporting#snitch.n	reporting#snitch.v
frame-Request-appeal.n	request#entreaty.n
frame-Request-beg.v	request#implore.v
frame-Request-beseech.v	request#command.n	request#command.v	request#entreat.v
frame-Request-demand.v	request#demand.n
frame-Request-request.v	request#petition.n	request#request.n
frame-Request-tell.v	request#order.v
frame-Research-research.v	research#investigate.v
frame-Reshaping-bend.v	reshaping#fold.v
frame-Reshaping-curl.v	reshaping#roll.v
frame-Reshaping-form.v	reshaping#shape.v
frame-Reshaping-mash.v	reshaping#crush.v	reshaping#squash.v
frame-Residence-camp.v	residence#bivouac.n	residence#bivouac.v	residence#camp.n	residence#camper.n
frame-Residence-live.v	residence#dwell.v	residence#dweller.n	residence#inhabit.v	residence#inhabitant.n
frame-Residence-room.v	residence#lodge.v
frame-Residence-stay.v	residence#occupant.n	residence#occupy.v	residence#reside.v	residence#resident.n
frame-Resolve_problem-deal.v	resolve_problem#address.v
frame-Resolve_problem-solve.v	resolve_problem#resolve.v
frame-Respond_to_proposal-rebuff.v	respond_to_proposal#rebuff.n
frame-Respond_to_proposal-refuse.v	respond_to_proposal#reject.v	respond_to_proposal#turn_down.v
frame-Response-react.v	response#reaction.n	response#respond.v
frame-Resurrection-rise.v	resurrection#resurrect.v
frame-Reveal_secret-expose.v	reveal_secret#disclose.v	reveal_secret#disclosure.n	reveal_secret#divulge.v	reveal_secret#divulgence.n	reveal_secret#reveal.v	reveal_secret#revelation.n
frame-Revenge-avenge.v	revenge#avenger.n	revenge#retaliate.v	revenge#retaliation.n	revenge#retributive.a	revenge#retributory.a	revenge#revenge.n	revenge#revenge.v
frame-Revenge-get_even.v	revenge#get_back_((at)).v
frame-Revenge-payback.n	revenge#retribution.n	revenge#vengeance.n
frame-Revenge-vengeful.a	revenge#revengeful.a	revenge#vindictive.a
frame-Rewards_and_punishments-discipline.v	rewards_and_punishments#disciplinary.a
frame-Rewards_and_punishments-punish.v	rewards_and_punishments#penalty.n	rewards_and_punishments#punitive.a
frame-Rewards_and_punishments-reward.v	rewards_and_punishments#reward.n
frame-Ride_vehicle-fly.v	ride_vehicle#flight.n
frame-Ride_vehicle-ride.v	ride_vehicle#ride.n
frame-Ride_vehicle-sail.v	ride_vehicle#cruise.n	ride_vehicle#cruise.v
frame-Risky_situation-danger.n	risky_situation#dangerous.a	risky_situation#unsafe.a
frame-Risky_situation-riskily.adv	risky_situation#risk.n	risky_situation#riskily.c	risky_situation#risky.a	risky_situation#threat.n
frame-Risky_situation-safely.adv	risky_situation#safely.c
frame-Rite-anoint.v	rite#unction.n
frame-Rite-baptize.v	rite#baptism.n	rite#christen.v	rite#christening.n
frame-Rite-bless.v	rite#consecrate.v	rite#consecration.n	rite#ordain.v	rite#order.v	rite#ordination.n
frame-Rite-circumcise.v	rite#circumcision.n
frame-Rite-initiate.v	rite#initiation.n
frame-Rite-pray.v	rite#prayer.n
frame-Rite-rite.n	rite#ritual.n
frame-Roadways-avenue.n	roadways#boulevard.n
frame-Roadways-flyover.n	roadways#overpass.n
frame-Roadways-freeway.n	roadways#expressway.n	roadways#motorway.n
frame-Roadways-parkway.n	roadways#driveway.n
frame-Roadways-pavement.n	roadways#sidewalk.n
frame-Roadways-rail.n	roadways#runway.n
frame-Roadways-railway.n	roadways#railroad.n
frame-Roadways-road.n	roadways#route.n
frame-Roadways-track.n	roadways#course.n	roadways#crosswalk.n
frame-Robbery-hold_up.v	robbery#stick_up.v
frame-Robbery-mug.v	robbery#mugger.n	robbery#mugging.n
frame-Robbery-rifle.v	robbery#ransack.v
frame-Robbery-rob.v	robbery#robber.n	robbery#robbery.n
frame-Rotting-rot.v	rotting#decay.v	rotting#decompose.v	rotting#moulder.v	rotting#putrefy.v	rotting#rot.n
frame-Run_risk-risk.v	run_risk#peril.n	run_risk#risk.n
frame-Scarcity-plentifulness.n	scarcity#plentiful.a
frame-Scarcity-scarcity.n	scarcity#scarce.a	scarcity#scarceness.n
frame-Scouring-comb.v	scouring#ransack.v	scouring#rummage.v
frame-Scouring-sweep.v	scouring#sweep.n
frame-Scrutiny-comb.v	scrutiny#ransack.v	scrutiny#rummage.v
frame-Scrutiny-monitor.v	scrutiny#monitoring.n
frame-Scrutiny-peruse.v	scrutiny#perusal.n
frame-Scrutiny-scan.v	scrutiny#skim.v
frame-Scrutiny-scout.v	scrutiny#reconnoitre.v
frame-Scrutiny-scrutinize.v	scrutiny#examination.n	scrutiny#inspector.n	scrutiny#scrutiny.n
frame-Scrutiny-search.v	scrutiny#explore.v	scrutiny#investigate.v	scrutiny#investigation.n
frame-Scrutiny-study.v	scrutiny#analyse.v	scrutiny#analysis.n	scrutiny#analyst.n	scrutiny#analytic.a	scrutiny#examine.v	scrutiny#study.n	scrutiny#survey.n	scrutiny#survey.v
frame-Scrutiny-surveillance.n	scrutiny#surveillance_((entity)).n
frame-Scrutiny-sweep.v	scrutiny#sweep.n
frame-Secrecy_status-publicly.adv	secrecy_status#public.a	secrecy_status#publicly.c
frame-Secrecy_status-secret.a	secrecy_status#clandestine.a	secrecy_status#surreptitious.a
frame-Secrecy_status-secretly.adv	secrecy_status#secretly.c
frame-Seeking-feel.v	seeking#palpate.v
frame-Seeking-grope.v	seeking#fumble.v
frame-Seeking-hunt.v	seeking#search.v	seeking#seek.v
frame-Seeking-look.v	seeking#watch.v
frame-Self_motion-advance.v	self_motion#proceed.v
frame-Self_motion-amble.v	self_motion#mosey.v	self_motion#saunter.v	self_motion#stroll.n	self_motion#stroll.v
frame-Self_motion-clamber.v	self_motion#scramble.v
frame-Self_motion-crawl.v	self_motion#crawl.n	self_motion#creep.v	self_motion#prowl.v	self_motion#sneak.v
frame-Self_motion-dart.v	self_motion#dash.n	self_motion#dash.v	self_motion#flit.v	self_motion#scoot.v	self_motion#sprint.n	self_motion#sprint.v
frame-Self_motion-hike.v	self_motion#hike.n	self_motion#meander.v	self_motion#roam.v	self_motion#rove.v	self_motion#straggle.v
frame-Self_motion-hop.v	self_motion#skip.v
frame-Self_motion-jog.v	self_motion#canter.v	self_motion#lope.v	self_motion#trot.v
frame-Self_motion-jump.v	self_motion#bound.v	self_motion#leap.v	self_motion#spring.v
frame-Self_motion-limp.v	self_motion#hobble.v
frame-Self_motion-lurch.v	self_motion#stagger.v	self_motion#toddle.v	self_motion#totter.v	self_motion#waddle.v
frame-Self_motion-march.v	self_motion#march.n
frame-Self_motion-pace.v	self_motion#step.n	self_motion#step.v	self_motion#stride.v	self_motion#tread.v
frame-Self_motion-pad.v	self_motion#plod.v	self_motion#slog.v	self_motion#stomp.v	self_motion#tramp.v	self_motion#trudge.v
frame-Self_motion-romp.v	self_motion#caper.v	self_motion#frolic.v	self_motion#gambol.v
frame-Self_motion-rush.v	self_motion#hasten.v	self_motion#hurry.v
frame-Self_motion-sail.v	self_motion#cruise.v
frame-Self_motion-scurry.v	self_motion#scamper.v	self_motion#scramble.n	self_motion#scuttle.v
frame-Self_motion-slop.v	self_motion#slosh.v
frame-Self_motion-strut.v	self_motion#prance.v	self_motion#sashay.v	self_motion#swagger.v
frame-Self_motion-swim.v	self_motion#swim.n
frame-Self_motion-trip.v	self_motion#jaunt.n
frame-Self_motion-troop.v	self_motion#parade.v	self_motion#promenade.v
frame-Self_motion-walk.v	self_motion#walk.n
frame-Sending-mail.v	sending#post.v
frame-Sending-send.v	sending#dispatch.v	sending#ship.v	sending#shipment_((act)).n	sending#shipment_((items)).n
frame-Sensation-feel.n	sensation#feeling.n	sensation#flavour.n
frame-Sensation-odor.n	sensation#aroma.n	sensation#bouquet.n	sensation#fragrance.n	sensation#perfume.n	sensation#scent.n	sensation#smell.n
frame-Sensation-reek.n	sensation#stink.n
frame-Sensation-sense.n	sensation#perception.n	sensation#sensation.n
frame-Sensation-taste.n	sensation#savour.n
frame-Sent_items-mail.n	sent_items#post.n
frame-Sentencing-condemn.v	sentencing#sentence.n	sentencing#sentence.v
frame-Separating-part.v	separating#divide.v	separating#partition.n	separating#partition.v	separating#section.v	separating#segment.v	separating#separate.v	separating#split.v
frame-Sequence-series.n	sequence#sequence.n	sequence#sequential.a	sequence#succession.n	sequence#successive.a
frame-Setting_fire-ablaze.a	setting_fire#alight.a	setting_fire#on_fire.a
frame-Setting_fire-light.v	setting_fire#combust.v	setting_fire#ignite.v	setting_fire#kindle.v
frame-Shapes-circle.n	shapes#circular.a	shapes#round.a
frame-Shapes-oval.n	shapes#ellipse.n
frame-Sharpness-dull.a	sharpness#blunt.a
frame-Shopping-shop.v	shopping#shopping.n
frame-Sign-indicate.v	sign#indication.n
frame-Sign-symptom.n	sign#symptomatic.a
frame-Sign_agreement-sign.v	sign_agreement#signatory.n	sign_agreement#signature.n
frame-Silencing-hush.v	silencing#hush_up.v	silencing#quiet.v	silencing#quiet_down.v	silencing#silence.v
frame-Similarity-differ.v	similarity#difference.n	similarity#difference_((count)).n	similarity#different.a	similarity#dissimilar.a	similarity#dissimilarity.n	similarity#dissimilarity_((mass)).n	similarity#distinction.n	similarity#unlike.a
frame-Similarity-disparity.n	similarity#disparate.a
frame-Similarity-like.prep	similarity#like.c
frame-Similarity-resemble.v	similarity#resemblance.n
frame-Similarity-similarity_((mass)).n	similarity#alike.a	similarity#like.a	similarity#similar.a	similarity#similarity_((count)).n
frame-Similarity-unlike.prep	similarity#unlike.c
frame-Similarity-vary.v	similarity#discrepancy.n	similarity#variant.n
frame-Simultaneity-co-occur.v	simultaneity#co-occurrence.n	simultaneity#coincide.v	simultaneity#concurrent.a	simultaneity#conjunction.n	simultaneity#simultaneity.n	simultaneity#simultaneous.a	simultaneity#simultaneously.c
frame-Size-big.a	size#large.a
frame-Size-huge.a	size#enormous.a
frame-Size-small.a	size#little.a
